Date,Rank_XP,User_Address,XP,ALP,PLP,EP,RP,VP,BP,EA_Flag
2024-10-31_10:48,941,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,6595866,3812704,0,4355847,0,216309,3065593,1
2024-11-01_01:15,937,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,6622845,3835161,0,4378304,0,217426,3078648,1
2024-11-02_01:08,937,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,6622845,3835161,0,4378304,0,217426,3078648,1
2024-11-03_01:14,937,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,6622845,3835161,0,4378304,0,217426,3078648,1
2024-11-04_01:11,937,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,6622845,3835161,0,4378304,0,217426,3078648,1
2024-11-05_01:08,926,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,6830188,3912652,0,4455795,0,221263,3242288,1
2024-11-06_01:07,920,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,6910582,4014075,0,4557218,0,226321,3266088,1
2024-11-07_01:08,917,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,6958166,4062306,0,4605449,0,228730,3286759,1
2024-11-08_01:08,904,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,7067008,4218717,0,4761860,0,236536,3308326,1
2024-11-08_16:50,903,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,7095228,4234045,0,4777188,0,237301,3327993,1
2024-11-09_01:36,897,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,7175560,4280514,0,4823657,0,239620,3382395,1
2024-11-10_01:44,883,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,7257870,4372613,0,4915756,0,244217,3413314,1
2024-11-11_01:41,878,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,7304384,4398443,0,4941586,0,245506,3445414,1
2024-11-12_01:38,866,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,7429439,4496684,0,5039827,0,250408,3515654,1
